,%CC,%CD,%DT,%EXCLAIM,%FUNC,%IN,%JJ,%MD,%MISSPELLED,%NN,%PRP,%QUESTION,%RB,%REPEATED,%VB,AVG_WFREQ,AVG_WLEN,IS_NATIVE,LM,LOGTYPES,LOGWORDS,SD_WFREQ,SD_WLEN,TYPES,WORDS,sc1
%CC,1.0,-0.1033715288029842,-0.134871999188388,-0.07112201914665149,0.10733882578631743,-0.0689514677828475,-0.00030648437200910607,0.002642379157184764,0.11802611636615572,0.018384915779027868,-0.023791538316771117,-0.13273401759641068,0.05495305917702425,-0.09517351099385862,-0.05223469127095318,-0.05222657181583764,-0.10395858194507725,-0.08036312063046828,-0.20016669117287322,-0.08847171088780778,-0.120988117808688,0.07936466682193533,-0.19364775779827226,-0.09074428852795248,-0.11164440407297781,-0.10355198530613102
%CD,-0.1033715288029842,1.0,-0.01924774842970449,0.10311346460933361,-0.06319484114068291,-0.06545873540929946,-0.04597661894200219,-0.15876987421455807,0.06771673036258824,0.09321129201079607,-0.10626603077630785,0.10771631675565653,-0.1378731814304066,-0.04602656060572046,-0.2130919834943324,-0.15747116054394827,0.010157576061884506,0.1670245903341336,-0.17916195803882248,0.14571606817092994,0.17030151373049898,0.09517512381116792,0.04265167524267989,0.1496946065381921,0.1791537587527181,0.16981152641509287
%DT,-0.134871999188388,-0.01924774842970449,1.0,-0.05196259612324435,0.13086746550823228,0.0928467715682019,-0.033703480282883336,-0.11382579056745784,0.034091020585397425,0.08136068130304822,-0.28114817994679026,-0.03307654714229852,-0.12780983764964787,-0.08577911321834313,-0.17612415130186315,-0.05487589880044264,-0.07306900775679669,0.047488300031131234,-0.02029072552189183,0.08080443508374024,0.06227980964563884,-0.0023380779287365838,0.057643937690398314,0.08564425376693702,0.06958982857408823,0.08376657075514235
%EXCLAIM,-0.07112201914665149,0.10311346460933361,-0.05196259612324435,1.0,-0.03363997979251953,-0.09776961577812925,-0.029454977186521254,-0.07927899707275161,-0.05318859796193815,-0.043372482995321884,0.005616138952148464,0.29002101651692697,0.06746193519053414,-0.10975165705681901,-0.04371711411796865,-0.08335204746376947,0.05422179470547428,0.12217806428650252,-0.020082497809887186,0.15702392152184685,0.13194263371023396,0.010802378459783097,0.10329541845241237,0.1586438430204006,0.12986372631700857,0.15651409416685083
%FUNC,0.10733882578631743,-0.06319484114068291,0.13086746550823228,-0.03363997979251953,1.0,0.11897904708855814,-0.33617655734794727,0.21235170358191457,-0.10013730677091999,-0.6369416110558586,0.5688706458392677,-0.03567301612589864,0.04692636131317748,0.06122074785200583,0.1989973226796648,0.258064885221069,-0.7053617539019796,-0.12385627864509215,0.20068928411691986,-0.132380813291294,-0.014234586340591686,-0.08256692529622382,-0.45728481520221315,-0.15672422576877043,-0.02002743718914912,-0.10802954489093289
%IN,-0.0689514677828475,-0.06545873540929946,0.0928467715682019,-0.09776961577812925,0.11897904708855814,1.0,-0.014931344894732723,-0.0664665907604394,-0.021833356960183074,0.14145954003622646,-0.09771083681775343,-0.1050301090438431,-0.14662642048809815,0.03705560886701476,-0.25759220201749816,0.0811260300241032,0.07418030091915502,-0.020093025323754194,-0.01104934376004889,-0.10283989966465147,-0.08706176731014027,-0.00653818263199549,0.012614698374983715,-0.07942860146387518,-0.06215167324715899,-0.07227973156074224
%JJ,-0.00030648437200910607,-0.04597661894200219,-0.033703480282883336,-0.029454977186521254,-0.33617655734794727,-0.014931344894732723,1.0,-0.10242689924543558,0.013517134710782983,0.12501678550919074,-0.3684485800835609,-0.08717122183924389,-0.08887752193137563,-0.04251442663436565,-0.24338860817645877,-0.139098189530523,0.3704917021835774,0.10964423678661656,-0.03061885639418098,0.09991992249237946,0.038188992173437235,0.062458827601508574,0.2843252901106273,0.11197246726067547,0.03852624066223816,0.09591426095340723
%MD,0.002642379157184764,-0.15876987421455807,-0.11382579056745784,-0.07927899707275161,0.21235170358191457,-0.0664665907604394,-0.10242689924543558,1.0,-0.026127168188212924,-0.2314801453103363,0.27045602891534,-0.05588536324477768,-0.0834185970137102,0.05770441157201042,-0.04756850510801597,0.17474579060823797,-0.2624436376101204,-0.16849593029616533,0.09890926472081131,-0.23335305633758843,-0.17540665308760092,-0.04945900864044279,-0.25310742624123184,-0.23800185806664728,-0.182646666945859,-0.189227944867903
%MISSPELLED,0.11802611636615572,0.06771673036258824,0.034091020585397425,-0.05318859796193815,-0.10013730677091999,-0.021833356960183074,0.013517134710782983,-0.026127168188212924,1.0,0.15692900962773698,-0.0625247397328084,-0.0994948620128036,-0.051533781005576526,-0.15617152275570684,0.03111427458288423,-0.6718676795893087,-0.018104610749315245,-0.15733558943754297,-0.6122644381719521,-0.12986126693125796,-0.2000392922996478,0.7802641240722087,-0.04253478420377798,-0.1260287447086584,-0.2054672406182247,-0.18023634205977515
%NN,0.018384915779027868,0.09321129201079607,0.08136068130304822,-0.043372482995321884,-0.6369416110558586,0.14145954003622646,0.12501678550919074,-0.2314801453103363,0.15692900962773698,1.0,-0.5886059320634865,-0.11151692690574179,-0.3366356079696442,-0.047503404143966206,-0.40481910170014146,-0.17710241395164752,0.5512853221852642,0.04025912030232555,-0.27826748867899026,-0.08095203215405708,-0.14875256770978984,0.12417998783567184,0.36618926007879044,-0.04609281524474698,-0.1238169303308071,-0.014220959852941837
%PRP,-0.023791538316771117,-0.10626603077630785,-0.28114817994679026,0.005616138952148464,0.5688706458392677,-0.09771083681775343,-0.3684485800835609,0.27045602891534,-0.0625247397328084,-0.5886059320634865,1.0,0.024287352140780996,-0.03510361790286044,0.13531005050539172,0.2916741738354714,0.24595155457814669,-0.6213784906498068,-0.2028615521049687,0.11401164101993588,-0.1916034130448653,-0.10085761749481617,-0.08365449368850762,-0.4399707531222095,-0.21817913406361045,-0.11757154058153788,-0.20215977540374283
%QUESTION,-0.13273401759641068,0.10771631675565653,-0.03307654714229852,0.29002101651692697,-0.03567301612589864,-0.1050301090438431,-0.08717122183924389,-0.05588536324477768,-0.0994948620128036,-0.11151692690574179,0.024287352140780996,1.0,0.04783266206735483,-0.09294476344436567,-0.02664796570825465,-0.04472093786697099,0.015758763489387106,0.18776552808295582,0.1132147179918075,0.19897543558079364,0.18551717296081943,-0.05856208307693065,0.05658730081444697,0.20438674849204924,0.1897584168248344,0.186917609104958
%RB,0.05495305917702425,-0.1378731814304066,-0.12780983764964787,0.06746193519053414,0.04692636131317748,-0.14662642048809815,-0.08887752193137563,-0.0834185970137102,-0.051533781005576526,-0.3366356079696442,-0.03510361790286044,0.04783266206735483,1.0,-0.01571462714141139,0.031697941626315666,-0.047462752059043566,0.0007820749410576901,0.06911448157801975,0.052982550824653085,0.2334523514994895,0.20298903984126515,-0.033149556956507634,-0.056757888677665076,0.20786444199610998,0.17296507557770197,0.13942468814319894
%REPEATED,-0.09517351099385862,-0.04602656060572046,-0.08577911321834313,-0.10975165705681901,0.06122074785200583,0.03705560886701476,-0.04251442663436565,0.05770441157201042,-0.15617152275570684,-0.047503404143966206,0.13531005050539172,-0.09294476344436567,-0.01571462714141139,1.0,0.12056956829000583,0.20689261550049612,-0.10775666020865865,-0.046325270475295985,0.20296972538704422,-0.05978661323450665,0.20680937202524013,-0.11087557787270161,-0.15260950834610906,-0.10721619137486364,0.1630921415140398,0.04199122836359879
%VB,-0.05223469127095318,-0.2130919834943324,-0.17612415130186315,-0.04371711411796865,0.1989973226796648,-0.25759220201749816,-0.24338860817645877,-0.04756850510801597,0.03111427458288423,-0.40481910170014146,0.2916741738354714,-0.02664796570825465,0.031697941626315666,0.12056956829000583,1.0,0.08704751012543653,-0.2533467703062403,-0.15935285326234294,0.0238321593383736,-0.1190837296501226,-0.08542783602725974,0.02342665892349833,-0.23703479226813776,-0.1299737052206334,-0.09061019245909091,-0.1488989968047707
AVG_WFREQ,-0.05222657181583764,-0.15747116054394827,-0.05487589880044264,-0.08335204746376947,0.258064885221069,0.0811260300241032,-0.139098189530523,0.17474579060823797,-0.6718676795893087,-0.17710241395164752,0.24595155457814669,-0.04472093786697099,-0.047462752059043566,0.20689261550049612,0.08704751012543653,1.0,-0.24890903493036767,-0.22583064135449482,0.5030482834571521,-0.4271611274974443,-0.3291369628190094,-0.795320258530037,-0.2690692495187187,-0.4412263919647414,-0.3284671500763527,-0.29168401186695087
AVG_WLEN,-0.10395858194507725,0.010157576061884506,-0.07306900775679669,0.05422179470547428,-0.7053617539019796,0.07418030091915502,0.3704917021835774,-0.2624436376101204,-0.018104610749315245,0.5512853221852642,-0.6213784906498068,0.015758763489387106,0.0007820749410576901,-0.10775666020865865,-0.2533467703062403,-0.24890903493036767,1.0,0.23381352348831919,-0.06562410106557098,0.20501577348721703,0.09760199508347543,0.06564439542220243,0.7665079997635126,0.2372722276733435,0.11049151046630482,0.24421094819646336
IS_NATIVE,-0.08036312063046828,0.1670245903341336,0.047488300031131234,0.12217806428650252,-0.12385627864509215,-0.020093025323754194,0.10964423678661656,-0.16849593029616533,-0.15733558943754297,0.04025912030232555,-0.2028615521049687,0.18776552808295582,0.06911448157801975,-0.046325270475295985,-0.15935285326234294,-0.22583064135449482,0.23381352348831919,1.0,0.09986455379439392,0.5632072798267745,0.5457141029536904,-0.08689908752206368,0.2760740705735641,0.6170180108607921,0.608852709893649,0.8125584744308971
LM,-0.20016669117287322,-0.17916195803882248,-0.02029072552189183,-0.020082497809887186,0.20068928411691986,-0.01104934376004889,-0.03061885639418098,0.09890926472081131,-0.6122644381719521,-0.27826748867899026,0.11401164101993588,0.1132147179918075,0.052982550824653085,0.20296972538704422,0.0238321593383736,0.5030482834571521,-0.06562410106557098,0.09986455379439392,1.0,0.10362903382673493,0.20613045257720053,-0.5452373977142264,0.02762533377726812,0.07679133279643167,0.18826430955415774,0.13247878230907723
LOGTYPES,-0.08847171088780778,0.14571606817092994,0.08080443508374024,0.15702392152184685,-0.132380813291294,-0.10283989966465147,0.09991992249237946,-0.23335305633758843,-0.12986126693125796,-0.08095203215405708,-0.1916034130448653,0.19897543558079364,0.2334523514994895,-0.05978661323450665,-0.1190837296501226,-0.4271611274974443,0.20501577348721703,0.5632072798267745,0.10362903382673493,1.0,0.9387901209585875,-0.06448765514962806,0.2863930144393014,0.9697090079974182,0.9008501561431277,0.7703947622846575
LOGWORDS,-0.120988117808688,0.17030151373049898,0.06227980964563884,0.13194263371023396,-0.014234586340591686,-0.08706176731014027,0.038188992173437235,-0.17540665308760092,-0.2000392922996478,-0.14875256770978984,-0.10085761749481617,0.18551717296081943,0.20298903984126515,0.20680937202524013,-0.08542783602725974,-0.3291369628190094,0.09760199508347543,0.5457141029536904,0.20613045257720053,0.9387901209585875,1.0,-0.11570024199442096,0.18676274219695704,0.8971714351633803,0.9576546598451543,0.7668337451054565
SD_WFREQ,0.07936466682193533,0.09517512381116792,-0.0023380779287365838,0.010802378459783097,-0.08256692529622382,-0.00653818263199549,0.062458827601508574,-0.04945900864044279,0.7802641240722087,0.12417998783567184,-0.08365449368850762,-0.05856208307693065,-0.033149556956507634,-0.11087557787270161,0.02342665892349833,-0.795320258530037,0.06564439542220243,-0.08689908752206368,-0.5452373977142264,-0.06448765514962806,-0.11570024199442096,1.0,0.0837391293456448,-0.055417906415904196,-0.11504980108440459,-0.09566920106141508
SD_WLEN,-0.19364775779827226,0.04265167524267989,0.057643937690398314,0.10329541845241237,-0.45728481520221315,0.012614698374983715,0.2843252901106273,-0.25310742624123184,-0.04253478420377798,0.36618926007879044,-0.4399707531222095,0.05658730081444697,-0.056757888677665076,-0.15260950834610906,-0.23703479226813776,-0.2690692495187187,0.7665079997635126,0.2760740705735641,0.02762533377726812,0.2863930144393014,0.18676274219695704,0.0837391293456448,1.0,0.3099103986088205,0.19626363892697352,0.30102239763734556
TYPES,-0.09074428852795248,0.1496946065381921,0.08564425376693702,0.1586438430204006,-0.15672422576877043,-0.07942860146387518,0.11197246726067547,-0.23800185806664728,-0.1260287447086584,-0.04609281524474698,-0.21817913406361045,0.20438674849204924,0.20786444199610998,-0.10721619137486364,-0.1299737052206334,-0.4412263919647414,0.2372722276733435,0.6170180108607921,0.07679133279643167,0.9697090079974182,0.8971714351633803,-0.055417906415904196,0.3099103986088205,1.0,0.9236788538936986,0.7539631338928022
WORDS,-0.11164440407297781,0.1791537587527181,0.06958982857408823,0.12986372631700857,-0.02002743718914912,-0.06215167324715899,0.03852624066223816,-0.182646666945859,-0.2054672406182247,-0.1238169303308071,-0.11757154058153788,0.1897584168248344,0.17296507557770197,0.1630921415140398,-0.09061019245909091,-0.3284671500763527,0.11049151046630482,0.608852709893649,0.18826430955415774,0.9008501561431277,0.9576546598451543,-0.11504980108440459,0.19626363892697352,0.9236788538936986,1.0,0.7451541533375624
sc1,-0.10355198530613102,0.16981152641509287,0.08376657075514235,0.15651409416685083,-0.10802954489093289,-0.07227973156074224,0.09591426095340723,-0.189227944867903,-0.18023634205977515,-0.014220959852941837,-0.20215977540374283,0.186917609104958,0.13942468814319894,0.04199122836359879,-0.1488989968047707,-0.29168401186695087,0.24421094819646336,0.8125584744308971,0.13247878230907723,0.7703947622846575,0.7668337451054565,-0.09566920106141508,0.30102239763734556,0.7539631338928022,0.7451541533375624,1.0
