,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
%CC,0.06348143481629259,0.059870066865791514,0.12181079176923969,0.036927055644530124,-0.2544553486060045,-0.47799051463414677,-0.4619685333320773,-0.2552352944366662,0.017207084132333975,0.1529450149614767,-0.28305567864549497,-0.28067225031267307,-0.062219321068723576,-0.3402106010345663,-0.021621165673686518,-0.19067751589850018,0.06858485450634197,0.20279432314737708,-0.06281400967071046,-0.04980913455672403,0.11112969974344838,0.008826002138715245,-0.018309167066403134,-0.016969661902051212,0.008325731230157386
%CD,-0.10621443111788068,0.033513772255807095,0.08747664559176313,-0.173908215799393,0.4033588752869731,0.22309070741353107,-0.4024886298859304,-0.2519952579532338,0.1536657419988735,-0.026864474312336694,0.47091588577042204,0.26506093139888565,0.0213187067828985,-0.17325180997429127,0.01607353134500704,-0.3216849096357209,0.004383321723392316,0.13194130231722037,-0.02901374770585575,0.009145799323109386,0.2034294596000479,-0.016204234406126734,0.015545835664020142,0.03035612414401412,-0.002436891840444004
%DT,-0.04909785522904153,0.025199571173682527,-0.02083841448601328,-0.4956296653154592,0.0933970405463887,-0.19454313632167433,0.4919089576867941,-0.07976758720205188,0.3688199906119883,-0.2737887938705043,-0.04107402184174857,-0.20466977615651838,0.042349798847327216,-0.09151005161098764,0.06363098705197044,-0.005520245353438301,0.1934818324370985,0.2635590062525566,-0.16658287326386398,0.07208919998256678,0.2140052323707174,0.013535610719433816,-0.01930026157113226,-0.03070354511470023,0.0031400442431857574
%EXCLAIM,-0.08846681520706225,-0.0443263383856145,0.04814917954807585,0.23960217324279767,0.490808707822559,-0.1020611695733143,-0.0065295258957467845,0.04543135719162658,-0.23083607617649538,-0.08292294093902132,-0.00488504662667784,-0.5034282253334605,0.5762430880410822,0.0823211766038393,0.07377635027853677,-0.0701042231876462,-0.10159027767856153,0.053008775366851626,0.024384036394742615,0.0037048927657270907,0.021405711747480623,0.00312190430138098,0.004639254371901085,0.004361824882660033,-0.0013582033241518272
%FUNC,0.19463240864584896,-0.28740970261707355,0.1987592241840899,-0.26972525998304414,0.03496825774400637,-0.15659201734223713,0.09342367092428407,0.06708121669852783,-0.06659777068127873,0.16813546085363357,0.11526314275087708,-0.061704411320233105,0.060680667021110565,-0.328919761837342,0.06513225095698058,-0.06988520179408728,0.061906658447428875,-0.5688483760926681,0.3221509948911546,0.31836356310444397,0.05931737323298691,-0.07177093616148236,0.06283894337399731,0.11021312284747439,-0.01296497643814424
%IN,0.022519718812608315,0.06129227899277119,-0.12361537518085468,-0.46272948071898184,-0.02417329307519349,-0.05079364975127064,0.07908945035232072,0.10436819946972285,-0.7020582941201823,0.24046207358515395,0.029597059443273805,0.025056429297686995,-0.08740576085357987,0.2025530558974509,0.011456502404172595,-0.27863601783013664,0.021876166031803052,0.17384204111447887,-0.05855375499317415,-0.11568063716583431,0.13465120633613714,-0.017535378949626153,0.022973705856402744,-0.029993292786904727,0.00035158570203739975
%JJ,-0.12389840381015438,0.15343829522056812,-0.14980698152747257,0.09319897183309113,-0.22615899857034466,-0.07363840142433888,-0.0908134168560046,0.3500244604239918,0.21120861726448625,0.20619723891493918,0.5513788994536105,-0.44776084002853384,-0.1735969672705105,0.18493149458362743,0.0012701409713817514,0.020723131611990915,0.06266106560620757,-0.06523772852742216,0.04473180352214376,-0.007288566278825246,0.27308317932669723,0.009404614845936906,0.01115452397921743,-0.03489192794577435,0.0005941754946684011
%MD,0.1650809771112783,-0.08052148622143658,0.022472962811781298,-0.012632852251708132,-0.0352426182824017,0.001988777823742727,-0.2447225999738752,0.6669998856369633,0.1688262437619141,-0.3015145223833495,-0.27999058227487683,0.1938722945186839,0.12729997522216926,0.0878031952517524,0.1286871042877219,-0.373227800778703,0.11400431279898658,0.005633646002008507,0.010121343459873903,-0.025865602528008597,0.1744556851710559,-0.01021500868291035,-0.006105371930966129,-0.002360803217126646,-0.005022084488775591
%MISSPELLED,0.017356428074256282,0.3027669580588277,0.4147059428593723,-0.03874899553006848,-0.039946902244041876,0.07515732053061214,0.07192662468936681,0.07988576570990824,-0.02833184125798518,-0.06935833703966503,-0.009116439458876625,-0.014867324007594813,-0.07468092283618065,-0.0038378755838926024,0.022690235066859264,0.07138860002296646,-0.16934335847367513,0.38393297083561095,0.7110012326531052,0.05877210745898601,0.021343374947789703,0.059713419056513846,-0.09698457837914028,-0.010439463749864366,0.005784818231115149
%NN,-0.11228630046828139,0.35271350779575217,-0.21861231643082898,-0.13083361384906586,0.043122624598015365,0.1086625895052483,-0.1534010768167279,-0.18896200866265608,-0.011142550505224917,-0.11413525722388819,-0.3359241978232304,0.005087692796413767,0.05030735392306765,0.11518020792571305,-0.055621825058288075,0.20274130281374686,-0.18905422428159646,-0.38826188506153714,0.11954116361851538,0.011542062972544568,0.5805007540118153,-0.020700777953278623,-0.0013461764864406698,-0.028803212691857115,-0.0005053955017576854
%PRP,0.2229976594919561,-0.2588892952865557,0.2017637096888341,0.0639333871335912,0.0795668899719736,0.15681443083415098,-0.08503671093680155,0.15383300056830246,-0.1005278480201003,0.24670968439019758,-0.02538934315199606,0.09060227826628436,0.09551948916118634,-0.07929552005832455,-0.1667804705540774,0.5279965006676334,0.23953351445676224,0.2901826100194683,-0.17473900940226864,0.13835365729926707,0.42486957886178,0.019571702946660642,-0.013686357047143757,-0.049513000228741194,0.002889951955537942
%QUESTION,-0.09709723091924834,-0.10724669977539408,0.024973031304197243,0.2011360802907819,0.5122656104651268,-0.02558673395196928,0.04623326895468715,0.0865490166954374,-0.09981997353502003,-0.109381692420002,-0.19392270706513673,-0.17516827804658794,-0.7294572650725321,-0.04719462446673395,-0.0697443083798575,-0.057686669297059685,0.15426685567085893,-0.05556281194569458,0.036782918928674226,0.0023908141049683784,0.06549594404041559,-0.0031248526062712272,0.0005165333714371641,-0.0006503441589192962,-0.0014052310587262095
%RB,-0.06279578657549531,-0.13225505099547483,0.10467692306218765,0.3136775901880862,-0.2123470779074202,-0.3614324906761814,0.13040600632207433,-0.1405642631571875,-0.3182317508016508,-0.5166059219725696,0.3141634685534792,0.24696321061520823,-0.024560556698533114,-0.011744995875012708,0.13674675156014443,0.0420368259334813,0.04236415348529031,-0.035525800457639166,0.0031360293091783464,-0.05058326497483078,0.31484734210210197,0.025273719384195183,0.03047751516349604,-0.03670663900361317,0.0024273945293431585
%REPEATED,0.03895979850808306,-0.13538445377361497,-0.07748227785116935,-0.08178434813949668,-0.29497849418329014,0.5782831824810615,-0.13375557124550966,-0.09640818816295749,-0.20179995096022818,-0.37358450560397305,-0.0006150013542023415,-0.39962798518072873,-0.04453397134463764,-0.2140410596604043,0.1356694809381522,0.02019708231044311,0.18799059470486779,0.045018462243575925,0.019615517702619552,-0.03246349919182749,-0.03489560984038989,-0.07454266984690033,0.045096405476813387,0.2524960238723283,-0.02969269599490625
%VB,0.1292630790233618,-0.12784599663349275,0.16495028178201154,0.3344180092746504,-0.13637232303600846,0.28563981474316585,0.36048458513854015,-0.272843905006559,0.13406653557350806,0.3117833648831404,-0.13636728192272762,-0.032665852483769416,0.008843971539508954,0.1660090122728899,0.17137884307830636,-0.462217199195498,0.026048351199858714,-0.0013989725744931035,0.009054432226256222,-0.04022493667046497,0.33668841643152697,-0.016416224719119105,0.017340152062069018,-0.03882861308410036,0.0024764633560131507
AVG_WFREQ,0.23423738555527424,-0.21603883639348362,-0.40411438971993585,0.003949023007780852,0.0547534688882236,-0.05056670158810453,-0.06146834434195201,-0.13919861205642306,0.023442245549733984,-0.004275263590973489,0.048127122811759064,0.006550831762118087,0.017539553210659184,0.08025960784309093,0.0616025122866303,-0.001792751878876105,0.13595027415025826,0.0327931003710274,0.25148806320611866,-0.020983800379539966,0.001958230509384559,0.17304173385770852,-0.7586701974933796,-0.05887663106222133,0.026712955240857646
AVG_WLEN,-0.24456535281546066,0.2590029097612972,-0.2660013367421873,0.21106987631285046,-0.06741472677741706,0.04211979179460189,0.06509530923492991,0.05384285855479728,-0.13109380536856924,0.0431166723132533,-0.053979071655097834,0.11256189785697632,0.04811053608662675,-0.16469523380150258,0.02023148436389186,-0.1489715124456562,0.17154485854443283,0.14085936479331215,-0.04458296129969235,0.7765448317066245,-0.025471597502759378,-0.004285431673365309,-0.05143384292454001,0.004045704555681888,-0.008111062293539752
IS_NATIVE,-0.2903048668546419,-0.11367761100209337,-0.00861521389331288,-0.061139353866766444,0.04873171533922633,-0.0337031610942445,-0.10025754698376796,0.03935187270934723,0.027083104584883035,0.1940295603168861,-0.08910371242163383,0.07075792077194537,-0.07495206582993152,-0.012228257468988372,0.8658735793964182,0.2406240255512494,-0.06860213061422707,0.060629608495323034,-0.011854963493108928,-0.02345153564493464,-0.004039063592254034,-0.09689190532900686,-0.018614830125036144,-0.01792974220092737,-0.0009565873445354036
LM,0.004369846169426082,-0.3063873429190637,-0.314145954603293,0.038716976511238434,-0.03795534944864743,0.02674152636214866,0.120877776965099,0.15665239266223768,0.025503436541825075,0.01106040686880328,0.009576409585030195,-0.011579715050969322,-0.08127258600944257,-0.3662986919349487,-0.09834710359366405,-0.05234677587879561,-0.7313723959041958,0.2128065229844888,-0.008639122374112972,0.015613295590705043,0.16291471500089663,-0.0016192262315216726,0.03719243457511002,0.04452073355472187,-0.0017956377091839267
LOGTYPES,-0.37867443248091126,-0.18851149764187158,0.1119014475799074,-0.026846399578004315,-0.07686736157177855,-0.0512772019637366,-0.0042446458234479175,0.009883547942888385,0.03372562370865766,0.032077094756240494,-0.05448711908730146,0.03865999834087783,0.04341718658762845,0.11700350497208795,-0.21837752685388614,-0.02368456340367976,0.014671436045593768,0.03131434402981736,0.04519781755363526,-0.029979521379782777,0.03635272057976075,-0.5229485339480776,-0.2671351677880553,0.17896545137493944,-0.5885528302391152
LOGWORDS,-0.34523082344033934,-0.2580412082136185,0.09989128517808872,-0.08732670057120659,-0.11603090402629612,0.10736543158280966,-0.06034893300273836,-0.0024688568447364906,-0.010507576588701087,-0.05886293376867469,-0.04205341513516724,-0.0577875682191949,0.03402621615578453,0.012552322293028996,-0.16258179572087722,-0.04647258047131469,0.011981639728295645,-0.036540743203605175,0.06955252591512134,0.03507941187069223,-0.03603905689595111,-0.2958879308120532,-0.09155362598907509,-0.5944525046490363,0.5208121846759567
SD_WFREQ,-0.029490973374600517,0.29049738698657906,0.4179568355033903,-0.00564431443131665,-0.03466959840170667,0.1277574003151793,0.09859478304741412,0.16677852765032444,-0.11009385407524956,-0.0217752949806383,0.047269050227791,-0.06104786498476131,-0.04583224267883851,-0.24302358270601754,0.05359914069604191,-0.034034656354856044,-0.20898719303268345,-0.2102905208311506,-0.4415838043995798,-0.02960593720049086,0.007358733023032241,0.10499196813290297,-0.552420955105291,-0.03135497518190347,0.014611563675745514
SD_WLEN,-0.251943519538728,0.17600656395315742,-0.20499055012816336,0.13794094230384243,0.03705203365877223,0.050111163827150175,0.21377718275435556,0.16342180268972792,-0.04017402263746003,0.17165368016833968,-0.022092856295896045,0.14339095097933777,0.17409135727204966,-0.5376166019937629,-0.056811756148910084,-0.006073204704069185,0.33293102630041094,-0.0417411081077806,0.19108559933703215,-0.489340942876957,0.05331480297168959,0.027189828409934436,0.017912503814715108,-0.03144605228085987,0.005383659688225022
TYPES,-0.38753052681424094,-0.1710011427586009,0.10449965091423563,-0.03505666192939028,-0.05756474240145022,-0.06786638547566981,-0.005029833183942532,0.019128519374554866,0.03523183387321938,0.07822148416711729,-0.07713431783782831,0.06122321357194673,0.03607764848544912,0.14728425546747934,-0.1354660472956823,-0.018528940062933315,0.019903622917607094,0.010544491347389726,0.011830470516400833,-0.012637699776517986,0.06744777060717765,0.24396897950870663,-0.09839503156897635,0.663400125785297,0.4761448670535186
WORDS,-0.3509210382842355,-0.24951546516680742,0.09377518328216006,-0.105357830151924,-0.096016659702804,0.0886010923343898,-0.06889391614045774,-0.005677793352659731,-0.006065787514612671,-0.0027756068493733064,-0.06846336144447027,-0.038737747159978804,0.023638475366078594,0.0336950535251843,-0.062411392550182444,-0.041739453146508884,0.00917253790635622,-0.0639454153317497,0.03740952934744447,0.0438613748772666,-0.011357755832706902,0.7150542300846872,0.08162041690183701,-0.2833705690132421,-0.3916654577919162
