spkitemid,WORDS,TYPES,score2,IS_NATIVE,average_score
1151.0,530.0,223.0,5,1,5.0
1186.0,481.0,185.0,4,1,4.5
360.0,201.0,104.0,3,0,3.0
1716.0,309.0,121.0,4,0,3.5
1578.0,296.0,154.0,5,0,4.5
945.0,304.0,92.0,4,0,4.0
1783.0,535.0,203.0,4,0,4.0
1760.0,635.0,222.0,6,1,6.0
813.0,335.0,147.0,4,0,4.0
1725.0,473.0,165.0,4,1,4.5
1706.0,226.0,103.0,3,0,3.0
303.0,512.0,199.0,5,1,5.0
138.0,443.0,189.0,6,0,5.0
833.0,572.0,189.0,4,1,4.5
1066.0,505.0,236.0,4,1,4.5
275.0,442.0,175.0,5,1,5.5
1529.0,361.0,169.0,4,0,4.0
525.0,398.0,162.0,4,1,4.5
1614.0,414.0,159.0,4,1,4.5
361.0,592.0,208.0,5,1,5.0
383.0,544.0,201.0,5,1,5.5
705.0,502.0,167.0,4,0,4.0
948.0,481.0,188.0,5,0,4.5
785.0,489.0,138.0,4,0,4.0
512.0,311.0,124.0,4,0,4.0
191.0,272.0,116.0,4,0,4.0
718.0,529.0,214.0,5,1,5.0
112.0,452.0,202.0,4,1,4.5
102.0,361.0,127.0,4,0,4.0
165.0,428.0,192.0,5,0,4.5
1111.0,602.0,217.0,5,1,5.5
788.0,388.0,148.0,4,0,4.0
1661.0,498.0,195.0,5,1,5.0
812.0,273.0,129.0,4,0,4.0
1684.0,352.0,153.0,4,0,4.0
429.0,438.0,174.0,4,1,4.5
93.0,591.0,256.0,6,1,5.5
1310.0,313.0,144.0,3,0,3.5
1384.0,438.0,189.0,5,1,5.0
766.0,276.0,123.0,4,0,4.0
668.0,456.0,187.0,5,1,5.0
627.0,279.0,94.0,4,0,4.0
398.0,468.0,224.0,5,1,5.0
680.0,541.0,180.0,4,1,4.5
928.0,395.0,171.0,5,1,5.0
365.0,498.0,214.0,5,0,4.5
395.0,186.0,104.0,3,0,3.0
524.0,442.0,148.0,4,0,4.0
1038.0,607.0,228.0,5,1,5.5
1375.0,518.0,185.0,5,1,5.0
1007.0,419.0,184.0,5,1,5.0
849.0,217.0,111.0,4,0,3.5
228.0,333.0,120.0,4,0,4.0
194.0,592.0,233.0,5,1,5.0
301.0,409.0,166.0,4,1,4.5
1686.0,128.0,68.0,3,0,2.5
350.0,447.0,137.0,4,0,4.0
471.0,291.0,117.0,4,0,4.0
207.0,318.0,135.0,4,0,4.0
851.0,505.0,212.0,4,1,4.5
749.0,541.0,201.0,5,1,5.0
1506.0,289.0,149.0,4,0,4.0
1781.0,514.0,187.0,5,1,5.0
1402.0,288.0,132.0,5,0,4.5
1239.0,589.0,215.0,5,1,5.5
1411.0,576.0,224.0,6,1,5.5
1287.0,405.0,184.0,5,1,5.0
809.0,400.0,189.0,5,0,4.5
547.0,415.0,130.0,4,0,4.0
1366.0,386.0,143.0,4,0,4.0
239.0,479.0,140.0,4,1,4.5
209.0,173.0,92.0,3,0,3.0
1084.0,387.0,166.0,5,0,4.5
866.0,263.0,118.0,4,0,3.5
1395.0,422.0,177.0,4,1,4.5
666.0,448.0,169.0,4,0,4.0
73.0,431.0,162.0,4,0,4.0
717.0,301.0,123.0,4,0,4.0
1047.0,519.0,221.0,6,1,5.5
599.0,447.0,206.0,4,0,4.0
1221.0,539.0,218.0,6,0,5.0
1035.0,247.0,134.0,4,0,4.0
1187.0,395.0,161.0,5,1,5.0
574.0,298.0,117.0,4,0,4.0
491.0,384.0,141.0,4,0,4.0
1295.0,87.0,55.0,2,0,2.0
1612.0,285.0,131.0,4,0,4.0
77.0,603.0,207.0,5,1,5.0
110.0,263.0,117.0,3,0,3.0
9.0,505.0,205.0,5,0,4.5
1361.0,531.0,231.0,5,1,5.0
181.0,509.0,203.0,5,1,5.0
669.0,508.0,151.0,4,0,4.0
1534.0,478.0,166.0,5,0,4.5
1148.0,443.0,167.0,4,1,4.5
1296.0,485.0,223.0,4,1,4.5
265.0,464.0,207.0,6,1,5.5
1541.0,328.0,127.0,4,0,4.0
628.0,322.0,142.0,5,1,5.5
1773.0,365.0,164.0,4,0,4.0
430.0,641.0,216.0,4,0,4.0
18.0,416.0,164.0,4,0,4.0
1209.0,358.0,157.0,4,0,4.0
976.0,360.0,146.0,4,0,4.0
188.0,438.0,170.0,4,1,4.5
925.0,268.0,124.0,3,0,3.5
566.0,287.0,123.0,4,0,4.0
1262.0,442.0,146.0,4,0,4.0
306.0,502.0,191.0,4,0,4.0
638.0,332.0,161.0,4,0,4.0
1037.0,255.0,105.0,4,0,4.0
753.0,305.0,112.0,4,0,4.0
1635.0,313.0,175.0,5,1,5.0
920.0,485.0,167.0,4,0,4.0
1228.0,270.0,102.0,4,0,4.0
1512.0,327.0,149.0,4,0,4.0
1264.0,410.0,184.0,5,0,4.5
150.0,341.0,133.0,4,0,4.0
1027.0,406.0,143.0,4,0,4.0
1693.0,526.0,182.0,5,1,5.0
1057.0,575.0,182.0,5,1,5.0
155.0,488.0,186.0,5,1,5.0
34.0,411.0,160.0,4,0,4.0
326.0,732.0,277.0,6,0,5.0
773.0,463.0,196.0,4,0,4.0
1231.0,185.0,83.0,3,0,3.0
1304.0,541.0,275.0,6,1,5.5
152.0,188.0,72.0,3,0,3.0
526.0,313.0,126.0,4,0,3.5
1183.0,285.0,96.0,4,0,4.0
23.0,571.0,200.0,5,1,5.0
163.0,257.0,139.0,4,0,4.0
738.0,273.0,129.0,3,0,3.0
1374.0,427.0,130.0,5,1,5.0
1762.0,365.0,148.0,4,0,4.0
316.0,614.0,222.0,5,0,4.5
877.0,538.0,228.0,5,1,5.5
662.0,221.0,114.0,3,0,3.0
1378.0,613.0,154.0,4,1,4.5
688.0,329.0,153.0,5,0,4.5
1552.0,292.0,107.0,3,0,3.0
946.0,480.0,166.0,4,0,4.0
1058.0,395.0,138.0,4,0,4.0
843.0,344.0,140.0,4,0,4.0
137.0,260.0,118.0,4,0,3.5
873.0,366.0,149.0,4,1,4.5
1269.0,458.0,208.0,6,1,5.5
1082.0,373.0,122.0,5,0,4.5
1640.0,330.0,144.0,4,0,4.0
815.0,457.0,212.0,5,1,5.0
285.0,608.0,267.0,5,1,5.5
179.0,311.0,132.0,4,0,4.0
340.0,399.0,174.0,5,0,4.5
330.0,708.0,226.0,5,1,5.5
172.0,263.0,121.0,4,0,4.0
1558.0,417.0,173.0,4,0,4.0
1407.0,358.0,143.0,5,1,5.0
375.0,164.0,63.0,2,0,2.0
708.0,407.0,174.0,5,0,4.5
1471.0,371.0,161.0,4,0,4.0
492.0,340.0,146.0,4,0,3.5
1504.0,354.0,160.0,4,0,4.0
818.0,266.0,104.0,4,0,4.0
1660.0,404.0,157.0,4,0,4.0
840.0,385.0,140.0,4,0,4.0
406.0,449.0,176.0,4,0,4.0
416.0,189.0,93.0,3,0,3.0
1664.0,441.0,182.0,4,0,4.0
208.0,168.0,72.0,3,0,3.0
417.0,275.0,124.0,4,0,4.0
918.0,743.0,266.0,5,1,5.0
261.0,501.0,170.0,5,0,4.5
1097.0,435.0,177.0,5,1,5.0
709.0,596.0,194.0,5,1,5.0
1662.0,408.0,178.0,4,0,4.0
640.0,339.0,144.0,3,0,3.5
869.0,154.0,65.0,3,0,3.0
1252.0,470.0,218.0,6,1,5.5
1685.0,410.0,167.0,4,0,4.0
1611.0,438.0,175.0,4,0,4.0
842.0,440.0,175.0,4,0,4.0
151.0,258.0,129.0,4,0,4.0
397.0,621.0,269.0,5,1,5.0
435.0,676.0,273.0,5,1,5.5
898.0,394.0,135.0,4,0,4.0
202.0,412.0,169.0,4,0,4.0
154.0,498.0,191.0,6,1,6.0
42.0,300.0,127.0,4,0,4.0
1087.0,590.0,237.0,5,1,5.5
787.0,407.0,164.0,4,0,4.0
1060.0,305.0,123.0,4,0,4.0
1605.0,270.0,106.0,4,0,4.0
555.0,598.0,250.0,6,1,5.5
1626.0,472.0,193.0,4,0,4.0
468.0,208.0,105.0,4,0,4.0
132.0,482.0,201.0,5,1,5.5
1054.0,306.0,145.0,4,0,4.0
1467.0,471.0,208.0,5,1,5.0
1242.0,286.0,139.0,4,0,4.0
571.0,415.0,169.0,5,0,4.5
295.0,392.0,160.0,5,1,5.0
220.0,496.0,222.0,5,1,5.0
711.0,503.0,220.0,5,1,5.0
1456.0,714.0,228.0,5,1,5.0
101.0,533.0,209.0,5,1,5.0
1437.0,279.0,119.0,4,0,4.0
1006.0,490.0,192.0,4,0,4.0
1406.0,427.0,184.0,5,0,4.5
200.0,397.0,141.0,4,0,4.0
941.0,507.0,195.0,6,1,6.0
683.0,595.0,208.0,5,1,5.0
431.0,537.0,211.0,6,1,5.5
394.0,181.0,75.0,3,0,3.5
1330.0,477.0,184.0,4,0,4.0
1223.0,469.0,168.0,4,1,4.5
230.0,504.0,183.0,4,1,4.5
1178.0,456.0,182.0,5,0,4.5
1339.0,369.0,119.0,4,0,4.0
4.0,569.0,225.0,5,1,5.0
31.0,549.0,213.0,6,0,5.0
539.0,403.0,141.0,4,1,4.5
299.0,371.0,118.0,4,0,4.0
284.0,330.0,135.0,4,0,4.0
650.0,509.0,213.0,5,1,5.0
1094.0,310.0,152.0,4,0,4.0
1283.0,400.0,177.0,5,1,5.0
984.0,355.0,141.0,4,0,4.0
932.0,689.0,258.0,6,1,6.0
1200.0,553.0,231.0,4,1,4.5
149.0,467.0,141.0,4,0,4.0
511.0,287.0,116.0,4,0,4.0
57.0,327.0,143.0,4,1,4.5
1484.0,421.0,193.0,4,1,4.5
514.0,251.0,119.0,4,0,4.0
990.0,373.0,145.0,4,0,4.0
880.0,440.0,170.0,5,1,5.0
985.0,474.0,161.0,5,0,4.5
906.0,535.0,206.0,5,1,5.5
210.0,420.0,186.0,5,0,4.5
1409.0,375.0,161.0,5,0,4.5
189.0,149.0,74.0,3,0,3.0
1503.0,436.0,158.0,5,0,4.5
1251.0,495.0,152.0,4,0,4.0
1181.0,385.0,154.0,5,1,5.0
1145.0,399.0,171.0,5,0,4.5
105.0,600.0,196.0,5,0,4.5
554.0,438.0,169.0,4,0,4.0
860.0,343.0,118.0,4,0,4.0
1530.0,380.0,142.0,4,0,4.0
1594.0,371.0,167.0,4,0,4.0
116.0,60.0,45.0,2,0,2.0
719.0,287.0,119.0,4,0,3.5
661.0,296.0,144.0,4,0,4.0
591.0,410.0,168.0,4,0,4.0
1616.0,481.0,220.0,5,0,4.5
676.0,256.0,119.0,4,0,4.0
1080.0,383.0,118.0,4,0,4.0
852.0,526.0,188.0,5,1,5.0
1068.0,565.0,208.0,4,1,4.5
1281.0,286.0,122.0,4,0,4.0
1371.0,590.0,231.0,6,1,6.0
1417.0,490.0,215.0,5,1,5.0
695.0,411.0,145.0,4,1,4.5
488.0,372.0,150.0,4,0,4.0
1240.0,502.0,202.0,5,1,5.0
1075.0,368.0,163.0,4,0,4.0
1644.0,378.0,154.0,4,0,4.0
1695.0,495.0,170.0,5,0,4.5
364.0,679.0,235.0,5,1,5.5
1597.0,653.0,242.0,5,1,5.5
979.0,560.0,206.0,5,1,5.0
651.0,378.0,153.0,4,0,4.0
1557.0,454.0,165.0,4,0,4.0
1687.0,751.0,238.0,5,1,5.0
934.0,393.0,159.0,4,0,4.0
74.0,359.0,131.0,3,0,3.5
799.0,308.0,95.0,4,0,4.0
587.0,449.0,176.0,4,1,4.5
513.0,439.0,174.0,4,0,4.0
1495.0,334.0,126.0,4,0,4.0
1702.0,233.0,107.0,4,0,4.0
21.0,401.0,179.0,4,0,4.0
868.0,535.0,190.0,6,1,6.0
263.0,573.0,229.0,5,1,5.0
1362.0,460.0,194.0,4,1,4.5
760.0,396.0,159.0,5,0,4.5
1545.0,271.0,138.0,4,0,4.0
148.0,330.0,139.0,4,1,4.5
756.0,333.0,152.0,4,0,4.0
1472.0,291.0,125.0,4,0,4.0
977.0,287.0,107.0,4,0,3.5
1573.0,587.0,128.0,5,1,5.0
283.0,238.0,119.0,3,0,3.0
1098.0,425.0,167.0,5,0,4.5
71.0,474.0,174.0,5,1,5.0
609.0,282.0,127.0,3,0,3.5
459.0,323.0,148.0,4,0,4.0
1733.0,262.0,109.0,4,0,4.0
1486.0,363.0,138.0,4,0,4.0
470.0,387.0,153.0,4,0,4.0
1320.0,674.0,241.0,6,1,5.5
1245.0,407.0,156.0,5,1,5.0
1479.0,299.0,102.0,4,0,3.5
1532.0,277.0,141.0,3,0,3.0
1050.0,608.0,265.0,5,1,5.5
724.0,271.0,121.0,4,0,4.0
994.0,458.0,175.0,5,0,4.5
288.0,382.0,147.0,4,0,4.0
701.0,383.0,163.0,4,0,4.0
490.0,597.0,219.0,4,0,4.0
768.0,470.0,141.0,4,0,4.0
1270.0,302.0,130.0,6,0,5.0
1628.0,536.0,189.0,5,1,5.0
1523.0,269.0,114.0,4,0,4.0
3.0,306.0,141.0,3,0,3.5
1025.0,375.0,166.0,4,0,4.0
570.0,542.0,182.0,4,0,4.0
458.0,319.0,140.0,5,0,4.5
714.0,449.0,189.0,5,0,4.5
723.0,601.0,213.0,5,1,5.0
1081.0,225.0,109.0,3,0,3.5
1476.0,383.0,151.0,4,1,4.5
1273.0,493.0,225.0,5,1,5.0
1430.0,275.0,115.0,4,0,4.0
890.0,400.0,145.0,4,0,4.0
988.0,344.0,130.0,4,0,4.0
1163.0,610.0,218.0,5,1,5.0
795.0,426.0,166.0,4,0,4.0
641.0,262.0,106.0,3,0,3.5
1576.0,322.0,124.0,4,0,4.0
1497.0,416.0,171.0,5,0,4.5
1581.0,669.0,245.0,6,1,5.5
1657.0,320.0,159.0,4,0,4.0
793.0,547.0,213.0,6,1,5.5
1643.0,530.0,234.0,5,1,5.5
312.0,259.0,99.0,4,0,3.5
58.0,225.0,107.0,3,0,3.5
269.0,444.0,190.0,4,1,4.5
957.0,445.0,177.0,5,0,4.5
48.0,616.0,205.0,5,1,5.5
874.0,595.0,231.0,6,1,6.0
1774.0,458.0,172.0,4,1,5.0
267.0,504.0,220.0,5,1,5.0
1010.0,281.0,108.0,4,0,4.0
1736.0,817.0,274.0,5,1,5.5
1.0,393.0,159.0,4,0,4.0
1752.0,535.0,231.0,5,0,4.5
1745.0,463.0,196.0,5,1,5.0
251.0,619.0,224.0,4,1,4.5
914.0,425.0,148.0,4,1,4.5
1173.0,375.0,156.0,4,0,4.0
1172.0,291.0,117.0,4,0,3.5
1435.0,472.0,182.0,5,1,5.0
658.0,379.0,146.0,4,0,4.0
605.0,212.0,102.0,3,0,3.0
377.0,512.0,219.0,5,1,5.0
1079.0,317.0,136.0,4,0,4.0
845.0,445.0,180.0,5,1,5.0
1491.0,685.0,259.0,6,1,5.5
823.0,366.0,144.0,4,0,4.0
1217.0,106.0,59.0,2,0,2.0
319.0,427.0,175.0,5,0,4.5
713.0,372.0,151.0,5,1,5.0
601.0,248.0,121.0,4,0,4.0
1579.0,277.0,88.0,4,0,4.0
421.0,236.0,103.0,3,0,3.0
282.0,348.0,142.0,4,0,4.0
568.0,463.0,183.0,4,0,4.0
439.0,466.0,173.0,5,1,5.0
543.0,347.0,136.0,4,0,4.0
1636.0,535.0,208.0,5,1,5.0
465.0,361.0,163.0,4,0,4.0
1302.0,423.0,155.0,5,1,5.0
692.0,188.0,73.0,3,0,3.0
1742.0,245.0,129.0,3,0,3.0
1370.0,430.0,147.0,5,0,4.5
1772.0,579.0,224.0,5,1,5.0
333.0,449.0,157.0,4,1,4.5
1225.0,407.0,148.0,4,0,4.0
1675.0,637.0,197.0,6,1,5.5
1769.0,325.0,142.0,5,0,4.5
1095.0,299.0,151.0,4,0,4.0
678.0,589.0,174.0,4,0,4.0
1139.0,507.0,213.0,5,1,5.0
1743.0,482.0,167.0,5,0,4.5
26.0,408.0,157.0,4,1,4.5
88.0,472.0,174.0,5,0,4.5
825.0,247.0,86.0,3,0,3.0
959.0,450.0,191.0,4,1,4.5
1352.0,375.0,141.0,4,0,4.0
1022.0,695.0,261.0,5,1,5.5
1282.0,547.0,225.0,5,1,5.0
426.0,489.0,186.0,4,1,4.5
1708.0,218.0,105.0,3,0,3.5
128.0,451.0,198.0,4,1,4.5
739.0,380.0,159.0,4,1,4.5
1329.0,309.0,130.0,3,0,3.5
456.0,374.0,137.0,4,0,3.5
25.0,320.0,124.0,4,0,4.0
222.0,495.0,190.0,4,1,4.5
1670.0,429.0,163.0,4,1,4.5
1748.0,355.0,158.0,5,0,4.5
199.0,836.0,280.0,6,1,5.5
83.0,220.0,111.0,4,0,3.5
489.0,580.0,241.0,5,0,4.5
1191.0,476.0,159.0,4,0,4.0
675.0,442.0,171.0,4,0,4.0
1372.0,381.0,139.0,4,0,4.0
741.0,340.0,161.0,4,0,4.0
731.0,536.0,210.0,4,0,4.0
16.0,592.0,237.0,6,1,6.0
221.0,231.0,112.0,3,0,3.0
1518.0,478.0,183.0,5,1,5.0
1308.0,418.0,137.0,4,1,4.5
386.0,483.0,170.0,5,1,5.0
1440.0,605.0,193.0,5,1,5.0
1140.0,383.0,152.0,5,0,4.5
486.0,571.0,188.0,5,0,4.5
592.0,274.0,128.0,4,0,4.0
1142.0,419.0,169.0,4,0,4.0
1011.0,464.0,190.0,4,0,4.0
1129.0,351.0,148.0,4,0,4.0
1319.0,471.0,146.0,4,1,4.5
1700.0,484.0,189.0,5,0,4.5
373.0,315.0,138.0,4,0,4.0
1071.0,278.0,128.0,4,0,4.0
1688.0,479.0,182.0,4,0,4.0
1381.0,280.0,126.0,4,0,4.0
278.0,335.0,157.0,4,0,4.0
266.0,471.0,166.0,5,1,5.5
807.0,507.0,189.0,5,1,5.5
1083.0,290.0,132.0,4,0,3.5
544.0,375.0,167.0,4,0,4.0
611.0,429.0,138.0,5,0,4.5
337.0,323.0,167.0,5,1,5.0
908.0,555.0,210.0,5,1,5.0
100.0,256.0,110.0,4,0,3.5
819.0,319.0,115.0,4,0,4.0
671.0,282.0,123.0,4,0,4.0
1580.0,293.0,116.0,4,0,4.0
1601.0,343.0,167.0,4,0,4.0
1109.0,300.0,148.0,4,0,4.0
1653.0,300.0,135.0,4,0,4.0
1168.0,406.0,142.0,4,0,4.0
1291.0,348.0,151.0,4,0,4.0
801.0,547.0,213.0,5,0,4.5
532.0,425.0,179.0,4,0,4.0
736.0,442.0,193.0,5,1,5.0
814.0,410.0,159.0,4,0,4.0
1426.0,387.0,185.0,5,1,5.0
1399.0,496.0,165.0,4,0,4.0
1196.0,331.0,141.0,4,0,4.0
1555.0,52.0,38.0,1,0,1.0
770.0,362.0,156.0,4,0,4.0
65.0,465.0,169.0,4,1,4.5
516.0,512.0,202.0,4,0,4.0
224.0,369.0,145.0,4,0,4.0
589.0,108.0,69.0,3,0,2.5
1254.0,413.0,170.0,4,0,4.0
1450.0,423.0,191.0,5,1,5.0
244.0,371.0,151.0,3,0,3.5
1307.0,402.0,167.0,5,0,4.5
529.0,248.0,118.0,4,0,3.5
1250.0,865.0,333.0,6,1,6.0
1669.0,661.0,269.0,5,1,5.0
1648.0,488.0,210.0,5,1,5.5
602.0,264.0,114.0,4,0,4.0
1650.0,396.0,150.0,4,0,4.0
999.0,665.0,260.0,6,1,6.0
99.0,392.0,176.0,4,0,4.0
625.0,492.0,199.0,6,1,5.5
1567.0,430.0,212.0,5,1,5.5
1211.0,446.0,173.0,5,0,4.5
372.0,517.0,172.0,5,1,5.0
168.0,482.0,185.0,4,1,4.5
1001.0,362.0,149.0,4,0,4.0
759.0,409.0,171.0,4,1,5.0
531.0,450.0,176.0,6,0,5.0
1184.0,400.0,157.0,5,1,5.0
1260.0,336.0,128.0,4,0,4.0
1055.0,404.0,178.0,4,0,4.0
309.0,420.0,191.0,5,0,4.5
822.0,364.0,168.0,4,0,4.0
1224.0,505.0,196.0,5,0,4.5
1609.0,456.0,215.0,5,0,4.5
607.0,490.0,183.0,5,0,4.5
53.0,482.0,176.0,4,0,4.0
378.0,530.0,205.0,5,1,5.5
1298.0,281.0,136.0,4,0,3.5
1598.0,620.0,198.0,5,1,5.0
30.0,283.0,118.0,4,0,4.0
1341.0,602.0,197.0,5,1,5.0
863.0,702.0,295.0,6,0,5.0
1404.0,569.0,213.0,5,1,5.0
1782.0,374.0,163.0,4,0,4.0
1031.0,508.0,178.0,4,1,4.5
846.0,343.0,132.0,4,0,4.0
584.0,570.0,196.0,5,0,4.5
145.0,409.0,182.0,5,1,5.0
1735.0,285.0,133.0,3,0,3.5
1647.0,208.0,121.0,3,0,3.0
982.0,348.0,137.0,4,0,4.0
855.0,293.0,138.0,4,0,4.0
935.0,542.0,225.0,5,0,4.5
670.0,415.0,163.0,4,0,4.0
796.0,355.0,163.0,4,0,4.0
969.0,306.0,131.0,4,0,4.0
466.0,362.0,161.0,5,0,4.5
393.0,350.0,142.0,4,0,4.0
1102.0,326.0,144.0,4,0,4.0
1749.0,128.0,73.0,3,0,3.0
216.0,432.0,182.0,4,0,4.0
1020.0,275.0,132.0,4,0,4.0
872.0,290.0,149.0,4,0,4.0
1166.0,443.0,176.0,5,0,4.5
573.0,649.0,237.0,5,1,5.0
1433.0,478.0,120.0,4,0,4.0
1326.0,470.0,145.0,4,0,4.0
1107.0,79.0,41.0,2,0,2.0
1249.0,739.0,253.0,5,1,5.0
1120.0,452.0,173.0,4,0,4.0
1560.0,510.0,178.0,4,1,4.5
857.0,195.0,99.0,4,0,4.0
240.0,291.0,139.0,4,0,4.0
98.0,473.0,204.0,6,1,5.5
1718.0,362.0,160.0,4,1,4.5
1190.0,521.0,185.0,5,0,4.5
1297.0,308.0,135.0,4,0,4.0
1222.0,208.0,92.0,3,0,3.0
139.0,200.0,91.0,4,0,3.5
1739.0,549.0,236.0,6,0,5.0
402.0,316.0,136.0,4,0,4.0
119.0,577.0,233.0,5,1,5.0
583.0,550.0,189.0,5,0,4.5
620.0,221.0,86.0,4,0,3.5
1348.0,218.0,96.0,4,0,3.5
1607.0,472.0,172.0,4,1,4.5
712.0,416.0,138.0,5,0,4.5
1070.0,276.0,112.0,3,0,3.5
176.0,426.0,192.0,5,1,5.0
1013.0,359.0,116.0,4,0,3.5
124.0,285.0,103.0,3,0,3.5
1132.0,364.0,140.0,4,0,4.0
178.0,303.0,135.0,4,0,4.0
1498.0,454.0,215.0,4,0,4.0
1624.0,429.0,166.0,4,0,4.0
951.0,511.0,163.0,4,0,3.5
1550.0,396.0,155.0,4,0,4.0
991.0,174.0,84.0,3,0,3.0
615.0,472.0,175.0,5,0,4.5
68.0,454.0,192.0,4,1,4.5
1422.0,649.0,232.0,5,0,4.0
1596.0,423.0,167.0,5,0,4.5
56.0,502.0,235.0,5,1,5.0
850.0,458.0,191.0,5,1,5.0
689.0,441.0,168.0,4,0,4.0
144.0,481.0,167.0,5,0,4.5
1734.0,504.0,196.0,4,1,4.5
1122.0,506.0,225.0,5,1,5.0
1112.0,319.0,118.0,4,0,4.0
624.0,323.0,143.0,4,0,4.0
1392.0,411.0,138.0,3,0,2.5
1551.0,662.0,248.0,5,0,4.5
606.0,512.0,192.0,4,0,4.0
1599.0,392.0,161.0,5,0,4.5
938.0,550.0,242.0,5,1,5.5
201.0,439.0,198.0,5,0,4.5
20.0,173.0,91.0,3,0,3.0
1633.0,254.0,127.0,4,0,4.0
1033.0,524.0,234.0,5,1,5.0
450.0,310.0,118.0,3,0,3.5
1741.0,366.0,142.0,4,0,4.0
1499.0,463.0,210.0,5,1,5.0
1299.0,574.0,244.0,6,1,5.5
1002.0,379.0,150.0,4,0,4.0
51.0,594.0,195.0,4,1,4.5
474.0,141.0,63.0,3,0,3.0
66.0,414.0,184.0,4,1,4.5
62.0,309.0,120.0,4,0,4.0
129.0,464.0,163.0,5,1,5.0
11.0,364.0,192.0,4,0,4.0
1707.0,273.0,121.0,3,0,3.5
922.0,378.0,164.0,4,0,4.0
341.0,304.0,134.0,4,0,4.0
1044.0,296.0,126.0,4,0,3.5
1101.0,207.0,107.0,4,0,4.0
403.0,521.0,164.0,4,0,4.0
1547.0,238.0,109.0,4,0,3.5
387.0,352.0,170.0,4,0,4.0
667.0,402.0,155.0,5,0,4.5
414.0,376.0,136.0,4,0,4.0
254.0,633.0,242.0,5,1,5.0
69.0,277.0,125.0,4,0,3.5
1158.0,627.0,212.0,5,0,4.5
931.0,315.0,135.0,4,0,4.0
596.0,182.0,92.0,3,0,3.0
